English Word,French Translation,Type,Meaning 
Aflutter,Tremblé,adv. & a.,In a flutter; agitated.
Afoam,écume,adv. & a.,"In a foaming state; as, the sea is all afoam."
Afoot,À pied,adv.,On foot.
Afore,Avant,adv.,Before.
Aforecited,Précité,a.,Named or quoted before.
Aforegoing,Ce qui précède,a.,Going before; foregoing.
Aforehand,à l'avance,adv.,Beforehand; in anticipation.
Aforementioned,Susmentionné,a.,Previously mentioned; before-mentioned.
Aforenamed,Prénommé,a.,Named before.
Aforesaid,Précité,a.,"Said before, or in a preceding part; already described or identified."
Aforethought,Prémédité,a.,"Premeditated; prepense; previously in mind; designed; as, malice aforethought, which is required to constitute murder."
Aforetime,Auparavant,adv.,In time past; formerly.
A fortiori,A fortiori,,With stronger reason.
Afoul,Afoul,adv. & a.,In collision; entangled.
Afraid,Peur,p. a.,Impressed with fear or apprehension; in fear; apprehensive.
Afreet,Afreet,n.,Same as Afrit.
Afresh,De nouveau,adv.,Anew; again; once more; newly.
Afric,Afrique,a.,African.
African,africain,a.,Of or pertaining to Africa.
Africander,Africain,n.,"One born in Africa, the offspring of a white father and a ""colored"" mother. Also, and now commonly in Southern Africa, a native born of European settlers."
Africanism,africanisme,n.,"A word, phrase, idiom, or custom peculiar to Africa or Africans."
Africanize,africaniser,v. t.,To place under the domination of Africans or negroes.
Afrit,Afrit,n.,Alt. of Afreet
Afrite,Afrite,n.,Alt. of Afreet
Afront,Devant,adv.,In front; face to face.
Aft,arrière,adv. & a.,Near or towards the stern of a vessel; astern; abaft.
After,Après,a.,"Next; later in time; subsequent; succeeding; as, an after period of life."
Afterbirth,Placenta,n.,"The placenta and membranes with which the fetus is connected, and which come away after delivery."
Aftercast,Postcast,n.,"A throw of dice after the game in ended; hence, anything done too late."
Afterclap,Afterclap,n.,An unexpected subsequent event; something disagreeable happening after an affair is supposed to be at an end.
Aftercrop,Récolte,n.,A second crop or harvest in the same year.
After damp,Après humide,,"An irrespirable gas, remaining after an explosion of fire damp in mines; choke damp. See Carbonic acid."
After-dinner,Après-dîner,n.,The time just after dinner.
After-eatage,Après-manger,n.,Aftergrass.
Aftereye,œil postérieur,v. t.,To look after.
Aftergame,Après le jeu,n.,"A second game; hence, a subsequent scheme or expedient."
After-glow,Après-lueur,n.,A glow of refulgence in the western sky after sunset.
Aftergrass,post-herbe,n.,The grass that grows after the first crop has been mown; aftermath.
Aftergrowth,Post-croissance,n.,"A second growth or crop, or (metaphorically) development."
Afterguard,arrière-garde,n.,"The seaman or seamen stationed on the poop or after part of the ship, to attend the after-sails."
After-image,Image différée,n.,"The impression of a vivid sensation retained by the retina of the eye after the cause has been removed; also extended to impressions left of tones, smells, etc."
Afterings,Afterings,n. pl.,The last milk drawn in milking; strokings.
Aftermath,Conséquences,n.,A second moving; the grass which grows after the first crop of hay in the same season; rowen.
After-mentioned,Après-mentionné,a.,"Mentioned afterwards; as, persons after-mentioned (in a writing)."
Aftermost,Après le plus,a. superl.,Hindmost; -- opposed to foremost.
Afternoon,Après midi,n.,"The part of the day which follows noon, between noon and evening."
After-note,Après-note,n.,"One of the small notes occur on the unaccented parts of the measure, taking their time from the preceding note."
Afterpains,Douleurs,n. pl.,"The pains which succeed childbirth, as in expelling the afterbirth."
Afterpiece,pièce postérieure,n.,"A piece performed after a play, usually a farce or other small entertainment."
After-sails,Après-voiles,n.,"The sails on the mizzenmast, or on the stays between the mainmast and mizzenmast."
Aftershaft,Arbre secondaire,n.,The hypoptilum.
Aftertaste,Arrière-goût,n.,A taste which remains in the mouth after eating or drinking.
Afterthought,réflexion après coup,n.,Reflection after an act; later or subsequent thought or expedient.
Afterwards,Après,adv.,Alt. of Afterward
Afterward,Après,adv.,At a later or succeeding time.
Afterwise,Ensuite,a.,"Wise after the event; wise or knowing, when it is too late."
After-wit,Après-esprit,n.,Wisdom or perception that comes after it can be of use.
After-witted,Après-esprit,a.,Characterized by after-wit; slow-witted.
Aftmost,Tout au fond,a.,Nearest the stern.
Aftward,Vers l'arrière,adv.,Toward the stern.
Aga,Aga,n.,Alt. of Agha
Agha,Agha,n.,"In Turkey, a commander or chief officer. It is used also as a title of respect."
Again,De nouveau,adv.,"In return, back; as, bring us word again."
Agains,Contre,prep.,"Against; also, towards (in order to meet)."
Againbuy,Acheter à nouveau,v. t.,To redeem.
Againsay,Encore une fois,v. t.,To gainsay.
Against,Contre,prep.,"Abreast; opposite to; facing; towards; as, against the mouth of a river; -- in this sense often preceded by over."
Againstand,Contre et,v. t.,To withstand.
Againward,Vers l'arrière,adv.,Back again.
Agalactia,Agalactie,n.,Alt. of Agalaxy
Agalaxy,Agalaxie,n.,Failure of the due secretion of milk after childbirth.
Agalactous,Agalactous,a.,Lacking milk to suckle with.
Agal-agal,Agal-agal,n.,Same as Agar-agar.
Agalloch,Agalloch,n.,Alt. of Agallochum
Agallochum,Agallochum,n.,"A soft, resinous wood (Aquilaria Agallocha) of highly aromatic smell, burnt by the orientals as a perfume. It is called also agalwood and aloes wood. The name is also given to some other species."
Agalmatolite,Agalmatolite,n.,"A soft, compact stone, of a grayish, greenish, or yellowish color, carved into images by the Chinese, and hence called figure stone, and pagodite. It is probably a variety of pinite."
Agama,Agama,n.,"A genus of lizards, one of the few which feed upon vegetable substances; also, one of these lizards."
Agamis,Agamis,pl. ,of Agami
Agami,Agami,n.,"A South American bird (Psophia crepitans), allied to the cranes, and easily domesticated; -- called also the gold-breasted trumpeter. Its body is about the size of the pheasant. See Trumpeter."
Agamic,agamique,a.,"Produced without sexual union; as, agamic or unfertilized eggs."
Agamically,Agamiquement,adv.,In an agamic manner.
Agamist,agamiste,n.,"An unmarried person; also, one opposed to marriage."
Agamogenesis,Agamogenèse,n.,Reproduction without the union of parents of distinct sexes: asexual reproduction.
Agamogenetic,Agamogénétique,n.,Reproducing or produced without sexual union.
Agamous,Agame,a.,Having no visible sexual organs; asexual.
Aganglionic,aganglionnaire,a.,Without ganglia.
Agape,Bouche bée,adv. & a.,"Gaping, as with wonder, expectation, or eager attention."
Agapae,Agapae,pl. ,of Agape
Agar-agar,Agar-agar,n.,A fucus or seaweed much used in the East for soups and jellies; Ceylon moss (Gracilaria lichenoides).
Agaric,Agaric,n.,"A fungus of the genus Agaricus, of many species, of which the common mushroom is an example."
Agasp,Agasp,adv. & a.,In a state of gasping.
Agast,Agast,v. t.,Alt. of Aghast
Aghast,Atterré,v. t.,To affright; to terrify.
Agastric,Agastrique,a.,"Having to stomach, or distinct digestive canal, as the tapeworm."
Agate,Agate,adv.,"On the way; agoing; as, to be agate; to set the bells agate."
Agatiferous,Agatiferous,a.,Containing or producing agates.
Agatine,Agatine,a.,"Pertaining to, or like, agate."
Agatize,Agatiser,v. t.,To convert into agate; to make resemble agate.
Agaty,Agaty,a.,"Of the nature of agate, or containing agate."
Agave,Agave,n.,"A genus of plants (order Amaryllidaceae) of which the chief species is the maguey or century plant (A. Americana), wrongly called Aloe. It is from ten to seventy years, according to climate, in attaining maturity, when it produces a gigantic flower stem, sometimes forty feet in height, and perishes. The fermented juice is the pulque of the Mexicans; distilled, it yields mescal. A strong thread and a tough paper are made from the leaves, and the wood has many uses."
Agazed,contemplé,p. p.,Gazing with astonishment; amazed.
Age,Âge,n.,"The whole duration of a being, whether animal, vegetable, or other kind; lifetime."
Aged,Vieilli,imp. & p. p.,of Age
Aging,Vieillissement,p. pr. & vb. n.,of Age
Agedly,vieux,adv.,In the manner of an aged person.
Agedness,Âge,n.,The quality of being aged; oldness.
Ageless,Sans âge,a.,"Without old age limits of duration; as, fountains of ageless youth."
Agen,Agen,adv. & prep.,See Again.
Agencies,Agences,pl. ,of Agency
Agency,Agence,n.,The faculty of acting or of exerting power; the state of being in action; action; instrumentality.
Agend,Ordre du jour,n.,See Agendum.
Agenda,Ordre du jour,pl. ,of Agendum
Agendum,Ordre du jour,n.,"Something to be done; in the pl., a memorandum book."
Agenesic,agénésique,a.,Characterized by sterility; infecund.
Agenesis,Agénésie,n.,"Any imperfect development of the body, or any anomaly of organization."
Agennesis,Agnésis,n.,Impotence; sterility.
Agent,Agent,a.,"Acting; -- opposed to patient, or sustaining, action."
Agential,Agent,a.,Of or pertaining to an agent or an agency.
Agentship,Mandat,n.,Agency.
Ageratum,Ageratum,n.,"A genus of plants, one species of which (A. Mexicanum) has lavender-blue flowers in dense clusters."
Aggeneration,Aggénération,n.,The act of producing in addition.
Agger,Agger,n.,An earthwork; a mound; a raised work.
Aggerate,Agréger,v. t.,To heap up.
Aggeration,Agrégation,n.,"A heaping up; accumulation; as, aggerations of sand."
Aggerose,Aggerose,a.,In heaps; full of heaps.
Aggest,Agester,v. t.,To heap up.
Agglomerated,Aggloméré,imp. & p. p.,of Agglomerate
Agglomerating,Agglomération,p. pr. & vb. n.,of Agglomerate
Agglomerate,Agglomérer,v. t.,"To wind or collect into a ball; hence, to gather into a mass or anything like a mass."
Agglomeration,Une agglomération,n.,The act or process of collecting in a mass; a heaping together.
Agglomerative,Aggloméré,a.,"Having a tendency to gather together, or to make collections."
Agglutinant,Agglutinant,a.,"Uniting, as glue; causing, or tending to cause, adhesion."
Agglutinated,agglutiné,imp. & p. p.,of Agglutinate
Agglutinating,Agglutination,p. pr. & vb. n.,of Agglutinate
Agglutinate,Agglutiner,v. t.,"To unite, or cause to adhere, as with glue or other viscous substance; to unite by causing an adhesion of substances."
Agglutination,Agglutination,n.,The act of uniting by glue or other tenacious substance; the state of being thus united; adhesion of parts.
Agglutinative,Agglutinant,a.,"Pertaining to agglutination; tending to unite, or having power to cause adhesion; adhesive."
Aggrace,Aggrâce,v. t.,To favor; to grace.
Aggrandizable,Agrandissable,a.,Capable of being aggrandized.
Aggrandization,Agrandissement,n.,Aggrandizement.
Aggrandized,Agrandi,imp. & p. p.,of Aggrandize
Aggrandizing,Agrandir,p. pr. & vb. n.,of Aggrandize
Aggrandize,Agrandir,v. t.,"To make great; to enlarge; to increase; as, to aggrandize our conceptions, authority, distress."
Aggrandizement,Agrandissement,n.,"The act of aggrandizing, or the state of being aggrandized or exalted in power, rank, honor, or wealth; exaltation; enlargement; as, the emperor seeks only the aggrandizement of his own family."
Aggrandizer,Agrandisseur,n.,"One who aggrandizes, or makes great."
Aggrate,Agréger,a.,To please.
Aggravated,Aggravé,imp. & p. p.,of Aggravate
Aggravating,Aggravant,p. pr. & vb. n.,of Aggravate
Aggravate,Aggraver,v. t.,To make heavy or heavier; to add to; to increase.
Aggravatingly,De manière aggravante,adv.,In an aggravating manner.
Aggravation,Aggravation,n.,"The act of aggravating, or making worse; -- used of evils, natural or moral; the act of increasing in severity or heinousness; something additional to a crime or wrong and enhancing its guilt or injurious consequences."
Aggravative,aggravant,a.,Tending to aggravate.
Aggregated,Agrégé,imp. & p. p.,of Aggregate
Aggregating,Agrégation,p. pr. & vb. n.,of Aggregate
Aggregate,Agrégat,v. t.,"To bring together; to collect into a mass or sum. ""The aggregated soil."""
Aggregately,Globalement,adv.,Collectively; in mass.
Aggregation,Agrégation,n.,"The act of aggregating, or the state of being aggregated; collection into a mass or sum; a collection of particulars; an aggregate."
Aggregative,Agrégatif,a.,Taken together; collective.
Aggregator,Agrégateur,n.,One who aggregates.
Aggrege,Agréger,v. t.,To make heavy; to aggravate.
Aggressed,Agressé,imp. & p. p.,of Aggress
Aggressing,Agressif,p. pr. & vb. n.,of Aggress
Aggress,Agressivité,v. i.,To commit the first act of hostility or offense; to begin a quarrel or controversy; to make an attack; -- with on.
Aggression,Agression,n.,"The first attack, or act of hostility; the first act of injury, or first act leading to a war or a controversy; unprovoked attack; assault; as, a war of aggression. ""Aggressions of power."""
Aggressive,Agressif,a.,"Tending or disposed to aggress; characterized by aggression; making assaults; unjustly attacking; as, an aggressive policy, war, person, nation."
